Real_Estate_Chi,Price_Per_SqFeet_Apr2020,Price_Per_SqFeet_Mar2020,Real_Estate_Eng,Latitude,Longitude
光明台,"$18,968 ",-,Illumination Terrace,22.277251,114.191185
南豐新村,"$17,744 ","$18,082 ",Nan Fung Sun Chuen,22.2818221,114.2123608
嘉亨灣,"$21,599 ","$20,956 ",Grand Promenade,22.2842418,114.2215559
太古城,"$18,613 ","$18,390 ",Taikoo Shing,22.2863031,114.2129501
富景花園,"$9,200 ","$8,108 ",Fullview Garden,22.2626752,114.2496659
康山花園,"$16,197 ","$16,722 ",Kornhill (Ho),22.2626714,114.2167439
康怡花園,"$17,419 ","$17,007 ",Kornhill,22.2816203,114.2122699
康景花園,"$15,523 ","$14,187 ",Mount Parker Lodge,22.281498,114.2107902
康翠臺,"$11,426 ","$11,699 ",Greenwood Terrace (Cw),22.2670731,114.2329032
愛蝶灣,"$12,048 ","$11,774 ",Aldrich Garden,22.2814483,114.2263445
杏花村,"$16,489 ","$16,111 ",Heng Fa Chuen,22.2774161,114.2380071
百福花園,"$14,960 ","$14,552 ",Bedford Gardens,22.289229,114.202224
藍灣半島,"$16,955 ","$18,140 ",Island Resort,22.2659689,114.2485954
鯉景灣,"$17,321 ","$18,358 ",Lei King Wan,22.285552,114.2224816
海怡半島,"$16,573 ","$16,062 ",South Horizons,22.2435329,114.1433519
深灣軒,"$17,781 ","$17,922 ",Sham Wan Towers,22.243799,114.1566601
漁暉苑,"$13,518 ",-,Yue Fai Court,22.2499061,114.154753
碧瑤灣,"$18,451 ","$18,090 ",Baguio Villa,22.2622355,114.1310382
置富花園,"$13,849 ","$15,095 ",Chi Fu Fa Yuen,22.2571935,114.136914
寶翠園,"$26,198 ","$25,564 ",The Belcher's,22.2847577,114.1304545
泓都,"$22,242 ","$21,785 ",The Merton,22.2832329,114.123958
縉城峰,"$25,313 ","$25,305 ",Island Crest,22.2863773,114.1412304
偉恆昌新村,"$14,288 ","$14,523 ",Wyler Gardens,22.3179064,114.1898662
傲雲峰,"$17,592 ","$17,633 ",Sky Tower,22.3235682,114.1877753
又一居,"$18,948 ","$19,849 ",Parc Oasis,22.3336844,114.157308
海濱南岸,"$17,425 ","$18,028 ",Harbour Place,22.3034054,114.1847065
海逸豪園,"$17,405 ","$17,016 ",Laguna Verde,22.3081306,114.1900546
翔龍灣,"$18,023 ","$17,727 ",Grand Waterfront,22.3191024,114.1913075
黃埔新村,"$15,623 ","$15,518 ",Whampoa Estate,22.3063421,114.1856415
黃埔花園,"$16,461 ","$15,735 ",Whampoa Garden,22.3044126,114.1848618
匯景花園,"$15,028 ","$15,561 ",Sceneway Garden,22.3069196,114.2309179
唐明苑,"$9,978 ","$11,317 ",Tong Ming Court,22.3094956,114.2558217
城中駅,"$14,966 ","$15,020 ",Le Point,22.3049824,114.2496711
富康花園,"$11,510 ",-,Beverly Garden,22.3104198,114.2600235
寶明苑,"$10,279 ","$11,980 ",Po Ming Court,22.3119275,114.2558483
寶林村,"$6,794 ",-,Po Lam Estate,22.3119272,114.2492553
寶盈花園,"$12,301 ","$12,181 ",Bauhinia Garden,22.3063701,114.2601219
將軍澳中心,"$16,195 ","$16,332 ",Park Central,22.3074676,114.2554151
將軍澳廣場,"$16,636 ","$16,281 ",Tseung Kwan O Plaza,22.3087575,114.2605258
峻弦,"$14,808 ","$14,372 ",Aria,22.3390321,114.2117179
峻瀅,"$13,105 ","$13,059 ",The Beaumount,22.2972527,114.2723296
廣明苑,"$10,851 ","$9,136 ",Kwong Ming Court,22.3122483,114.2576234
得寶花園,"$17,099 ","$16,596 ",Tak Bo Garden,22.327,114.2121865
德福花園,"$14,074 ","$13,526 ",Telford Gardens,22.327,114.2121758
怡心園,"$12,374 ","$12,687 ",Serenity Place,22.3220989,114.2512212
新寶城,"$15,726 ","$16,160 ",La Cite Noble,22.3139268,114.2640181
新都城,"$16,126 ","$15,867 ",Metro City,22.3224924,114.2555916
曉麗苑,"$9,929 ","$11,489 ",Hiu Lai Court,22.319775,114.2270696
東港城,"$15,203 ","$14,334 ",East Point City,22.3163478,114.2628043
樂雅苑,"$11,469 ","$10,656 ",Lok Nga Court,22.323253,114.21777
淘大花園,"$15,975 ","$15,910 ",Amoy Gardens,22.324587,114.2136775
清水灣半島,"$14,024 ","$13,960 ",Oscar By The Sea,22.3082602,114.2656191
疊翠軒,"$12,989 ","$12,607 ",The Pinnacle,22.3086921,114.1462683
竹園北村,"$6,476 ","$6,814 ",Chuk Yuen North Estate,22.3463206,114.1907475
維景灣畔,"$16,752 ","$16,350 ",Ocean Shores,22.302124,114.2513994
翠屏村,"$6,805 ","$6,808 ",Tsui Ping Estate,22.3143008,114.2290447
茵怡花園,"$12,232 ","$9,749 ",Verbena Heights,22.3214801,114.2539917
蔚藍灣畔,"$15,925 ","$16,316 ",Residence Oasis,22.3160167,114.2625143
譽．港灣,"$21,262 ","$17,055 ",The Latitude,22.3333138,114.1941329
都會駅,"$15,731 ","$15,824 ",Metro Town,22.3046948,114.2492421
領凱,"$12,463 ","$11,764 ",La Splendeur,22.294324,114.2706135
領都,"$11,869 ","$11,709 ",Le Prestige,22.294324,114.2706028
顯明苑,"$9,008 ",-,Hin Ming Court,22.3156983,114.2664354
首都,"$13,259 ","$12,295 ",The Capitol,22.2965011,114.269777
鳳德村,"$7,211 ","$8,193 ",Fung Tak Estate,22.3434438,114.1991455
麗晶花園,"$13,384 ","$13,234 ",Richland Gardens,22.3298039,114.2046771
麗港城,"$13,977 ","$14,063 ",Laguna City,22.3061701,114.2231207
龍蟠苑,"$13,668 ","$15,499 ",Lung Poon Court,22.3422845,114.1985226
GRAND AUSTIN,"$36,628 ","$40,306 ",Grand Austin,22.3032897,114.1654151
君滙港,"$20,646 ","$20,278 ",Harbour Green,22.3221085,114.1572185
宇晴軒,"$18,125 ","$19,572 ",The Pacifica,22.334746,114.1476165
御金．國峯,"$19,988 ","$18,511 ",The Coronation,22.3095171,114.1639399
擎天半島,"$28,310 ","$26,679 ",Sorrento,22.3095168,114.157347
昇悅居,"$16,808 ","$16,760 ",Liberte,22.3346889,114.146838
泓景臺,"$18,119 ","$16,825 ",Banyan Garden,22.3339641,114.145048
浪澄灣,"$20,802 ","$20,547 ",The Long Beach,22.319798,114.153905
清麗苑,"$12,238 ","$11,085 ",Ching Lai Court,22.3392305,114.1327515
港灣豪庭,"$18,291 ","$18,081 ",Metro Harbour View,22.3245704,114.1585158
美孚新村,"$13,399 ","$13,417 ",Mei Foo Sun Chuen,22.3369115,114.1353049
博康村,"$6,649 ","$6,513 ",Pok Hong Estate,22.3763641,114.1931942
名城,"$15,304 ","$16,352 ",Festival City,22.370297,114.1713649
大埔中心,"$15,093 ","$14,284 ",Tai Po Centre,22.4517369,114.1680276
大埔廣場,"$12,264 ","$12,963 ",Tai Po Plaza,22.452909,114.168251
太湖花園,"$14,522 ","$14,171 ",Serenity Park,22.4542242,114.1575063
好運中心,"$15,330 ","$14,772 ",Lucky Plaza,22.3826222,114.1890187
富善村,"$7,892 ","$6,432 ",Fu Shin Estate,22.4535833,114.1733658
富安花園,"$8,405 ","$10,072 ",Chevalier Garden,22.4042094,114.2220104
寶湖花園,"$14,691 ","$13,183 ",Plover Cove Garden,22.4491681,114.1662403
嵐山,"$10,347 ","$10,721 ",Mont Vert,22.4647915,114.177206
嵐岸,"$12,939 ","$14,844 ",Sausalito,22.3696444,114.1576289
希爾頓中心,"$16,459 ","$15,718 ",Hilton Plaza,22.3794762,114.1846982
帝堡城,"$13,724 ","$13,302 ",Castello,22.3834917,114.2129011
廣林苑,"$11,765 ","$10,601 ",Kwong Lam Court,22.380368,114.213952
廣源村,"$5,922 ","$6,984 ",Kwong Yuen Estate,22.3811837,114.2122687
恆安村,"$6,876 ","$6,415 ",Heng On Estate,22.3811799,114.1793467
愉翠苑,"$10,664 ","$11,407 ",Yu Chui Court,22.381178,114.2030795
新峰花園,"$11,111 ","$11,585 ",Classical Gardens,22.441981,114.1592705
新港城,"$16,221 ","$16,025 ",Sunshine City,22.4235405,114.229492
新達廣場,"$14,880 ","$15,293 ",Uptown Plaza,22.4440004,114.1665226
明雅苑,"$11,809 ",-,Ming Nga Court,22.4519295,114.1730555
欣廷軒,"$16,755 ","$18,254 ",Prima Villa,22.3822496,114.2018897
沙田第一城,"$17,041 ","$17,368 ",City One Shatin,22.3870157,114.1991554
河畔花園,"$18,820 ","$18,531 ",Garden Rivera,22.381189,114.193055
溱岸8號,"$18,698 ","$17,332 ",The Riverpark,22.3755622,114.1845695
濱景花園,"$15,169 ","$14,521 ",Ravana Garden,22.3912716,114.2031304
碧濤花園,"$11,867 ","$12,162 ",Pictorial Garden,22.3948143,114.2059836
穗禾苑,"$9,991 ",-,Sui Wo Court,22.3938679,114.192266
翠屏花園,"$15,339 ","$15,226 ",Jade Plaza,22.3796897,114.0977964
翠擁華庭,"$12,755 ","$11,770 ",Monte Vista,22.4266839,114.2415852
耀安村,"$6,145 ","$6,127 ",Yiu On Estate,22.4194279,114.228702
聚龍居,"$14,622 ",-,Parc Royale,22.3626839,114.1738579
聽濤雅苑,"$13,717 ","$13,035 ",Vista Paradiso,22.4196053,114.2226434
迎海‧星灣,"$16,226 ","$17,552 ",Double Cove Starview,22.4303285,114.2427549
金獅花園,"$15,910 ","$15,822 ",Golden Lion Garden,22.3694426,114.1819319
銀湖．天峰,"$15,128 ","$14,541 ",Lake Silver,22.4286624,114.2417783
銀禧花園,"$13,374 ","$13,483 ",Jubilee Garden,22.3964246,114.197485
錦豐苑,"$10,352 ","$10,894 ",Kam Fung Court,22.422813,114.2230645
雅典居,"$12,271 ",-,Villa Athena,22.4265054,114.231779
雅濤居,"$14,280 ","$12,925 ",The Waterside,22.4248494,114.225919
顯徑村,"$9,106 ","$6,894 ",Hin Keng Estate,22.4248342,114.1578906
馬鞍山中心,"$15,746 ","$16,307 ",Ma On Shan Centre,22.4261353,114.2310288
YOHO MIDTOWN,"$14,601 ","$15,210 ",Yoho Midtown,22.4439578,114.034312
YOHO TOWN,"$15,221 ","$15,172 ",Yoho Town,22.4439578,114.0343012
兆康苑,"$9,269 ","$9,506 ",Siu Hong Court,22.4132695,113.9749756
兆禧苑,"$11,307 ","$10,326 ",Siu Hei Court,22.3743441,113.9644893
兆麟苑,"$9,188 ","$6,600 ",Siu Lun Court,22.3843384,113.9751359
凱德花園,"$13,088 ",-,Hoi Tak Gardens,22.384895,113.978836
南浪海灣,"$11,742 ","$11,695 ",Nerine Cove,22.38222,113.969746
原築,"$11,385 ",-,La Grove,22.437396,114.022716
嘉湖山莊,"$10,487 ","$10,468 ",Kingswood Villas,22.4546427,113.998
大興花園,"$11,379 ","$11,468 ",Tai Hing Gardens,22.3996115,113.9697374
天富苑,"$6,639 ","$8,729 ",Tin Fu Court,22.4653168,113.9963716
天盛苑,"$8,296 ","$7,832 ",Tin Shing Court,22.4478055,114.0000808
天頌苑,"$6,930 ","$7,298 ",Tin Chung Court,22.4604586,113.9978884
寶星中心,"$14,368 ","$13,772 ",Po Sing Centre,22.3661366,114.1335897
尚悅,"$12,809 ","$12,989 ",The Reach,22.4376877,114.0302972
屯門市廣場,"$13,467 ","$13,494 ",Tuen Mun Town Plaza,22.3936117,113.9746344
帝濤灣,"$9,389 ","$8,835 ",Palatial Coast,22.3672763,114.0112233
愛琴海岸,"$11,496 ","$11,359 ",Aegean Coast,22.3725695,113.9920825
新屯門中心,"$10,816 ","$10,311 ",Sun Tuen Mun Centre,22.3812408,113.9621887
時代廣場,"$13,325 ","$13,648 ",Trend Plaza,22.3928925,113.973455
景新臺,"$9,023 ","$8,371 ",Kingston Terrace,22.402595,113.9785418
朗屏村,"$6,441 ","$5,816 ",Long Ping Estate,22.450191,114.0217558
栢慧豪園,"$11,391 ","$11,575 ",Central Park Towers,22.4593522,113.9987381
栢慧豪廷,"$11,470 ","$11,258 ",Central Park Towers II,22.4593522,113.9987381
樂悠居,"$17,115 ","$16,603 ",Indihome,22.366355,114.116014
浩景臺,"$12,293 ","$12,924 ",Highland Park,22.3492435,114.127963
浪翠園,"$11,005 ","$10,266 ",Sea Crest Villa,22.3208978,114.0256391
海景花園,"$8,983 ","$9,273 ",Seaview Garden,22.3785943,113.9815852
海灣花園,"$12,904 ",-,Waterside Plaza,22.3638311,114.1121068
溱柏,"$12,401 ","$11,381 ",Park Signature,22.4363004,114.0225838
澤豐花園,"$9,580 ","$8,776 ",Affluence Garden,22.4036519,113.9728855
灝景灣,"$17,683 ","$16,639 ",Villa Esplanada,22.3618388,114.1041166
爾巒,"$13,088 ","$11,761 ",Riva,22.4444254,114.0497426
環宇海灣,"$15,018 ","$14,811 ",City Point,22.3644169,114.1123813
瓏門,"$15,294 ","$15,161 ",Century Gateway,22.3949348,113.9717033
疊茵庭,"$13,208 ","$12,864 ",Parkland Villas,22.4106042,113.9789285
盈翠半島,"$16,834 ","$17,725 ",Tierra Verde,22.3586612,114.105318
碧堤半島,"$13,470 ","$12,587 ",Bellagio,22.367197,114.0592476
綠楊新村,"$13,830 ","$14,457 ",Luk Yeung Sun Chuen,22.373157,114.1185988
美景花園,"$13,025 ","$12,849 ",Mayfair Gardens,22.3440751,114.1049901
翠怡花園,"$15,445 ","$14,615 ",Greenfield Garden,22.3440748,114.0983971
翠林花園,"$12,549 ","$10,943 ",Greenland Garden,22.4006185,113.9702202
翠豐臺,"$15,475 ","$14,221 ",Summit Terrace,22.3761552,114.103879
荃威花園,"$10,668 ","$10,432 ",Allway Gardens,22.3783333,114.1014171
荃德花園,"$15,042 ","$14,623 ",Tsuen Tak Gardens,22.3766227,114.1045342
荃景花園,"$13,043 ","$13,888 ",Tsuen King Garden,22.378531,114.1075049
荃灣中心,"$13,103 ","$12,958 ",Tsuen Wan Centre,22.378531,114.1074941
華景山莊,"$11,653 ","$9,082 ",Wonderland Villas,22.3537075,114.1343719
萬景峯,"$17,534 ","$17,873 ",Vision City,22.3706748,114.1119342
葵俊苑,"$9,496 ",-,Kwai Chun Court,22.3645673,114.1297354
藍澄灣,"$12,450 ","$13,047 ",Rambler Crest,22.3428457,114.1082308
蝶翠峰,"$10,760 ","$10,681 ",Sereno Verde,22.4375419,114.0282445
豪景花園,"$9,978 ","$10,224 ",Hongkong Garden,22.3194268,114.0296759
豫豐花園,"$11,655 ","$11,586 ",The Sherwood,22.4203302,113.9832802
采葉庭,"$12,652 ","$13,306 ",The Parcville,22.4504188,114.0310871
錦繡花園,"$11,484 ","$11,638 ",Fairview Park,22.4504178,114.0157179
青怡花園,"$14,913 ","$14,697 ",Tsing Yi Garden,22.3533525,114.1026843
麗城花園,"$11,292 ","$11,684 ",Belvedere Garden,22.3720134,114.096424
麗都花園,"$11,092 ","$10,134 ",Lido Garden,22.366227,114.056717
龍門居,"$8,498 ","$8,418 ",Lung Mun Oasis,22.3847347,113.9643147
彩蒲苑,"$11,257 ","$11,087 ",Choi Po Court,22.5017706,114.12225
牽晴間,"$13,674 ","$13,518 ",Dawning Views,22.4865358,114.1409941
碧湖花園,"$12,253 ","$12,437 ",Avon Park,22.4877649,114.1406863
綠悠軒,"$11,771 ",-,Belair Monte,22.5015946,114.1438552
花都廣場,"$12,813 ","$13,046 ",Flora Plaza,22.4854804,114.139001
華明村,"$5,303 ","$5,863 ",Wah Ming Estate,22.4832441,114.1395784
愉景灣,"$11,304 ","$11,465 ",Discovery Bay,22.2948855,113.9923541
昇薈,"$10,195 ","$11,944 ",The Visionary,22.2956363,113.9486646
映灣園,"$10,596 ","$10,669 ",Caribbean Coast,22.2926551,113.9451984
東堤灣畔,"$12,020 ","$11,017 ",Tung Chung Crescent,22.2880738,113.9374736
海堤灣畔,"$12,312 ","$12,121 ",Seaview Crescent,22.2923425,113.9398071
珀麗灣,"$11,724 ","$11,923 ",Park Island,22.352492,114.0592432
藍天海岸*,"$12,471 ","$13,815 ",Coastal Skyline*,22.2923326,113.9430338
裕東苑,"$9,651 ","$11,238 ",Yu Tung Court,22.287054,113.9408384
